date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:29	44290/44290	---M-Z	200	added ('OK')	text/html	etag:%22ad02-5bfed220d3ac0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/index.html	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/index.html	(from )
18:18:30	179/179	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Aug%202022%2017:18:30%20GMT	http://likeabawz.dk/robots.txt		(from )
18:18:30	4128/4128	---M--	200	added ('OK')	image/png	etag:%221020-5bfed30891d80%22	http://likeabawz.dk/exill/demo/kitzu/template/img/favicons/apple-touch-icon.png	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/favicons/apple-touch-icon.png	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:31	652/652	---M--	200	added ('OK')	image/png	etag:%2228c-5bfed30985fc0%22	http://likeabawz.dk/exill/demo/kitzu/template/img/favicons/favicon-32x32.png	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/favicons/favicon-32x32.png	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:31	366/366	---M--	200	added ('OK')	image/png	etag:%2216e-5bfed30985fc0%22	http://likeabawz.dk/exill/demo/kitzu/template/img/favicons/favicon-16x16.png	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/favicons/favicon-16x16.png	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:32	156196/156196	---M-Z	200	added ('OK')	text/css	etag:%2226224-5bfed237b70c0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/bootstrap-custom.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/bootstrap-custom.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:33	46588/46588	---M-Z	200	added ('OK')	text/css	etag:%22b5fc-5bfed23c7bc00-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:33	2058/2058	---M-Z	200	added ('OK')	text/css	etag:%2280a-5bfed24328bc0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/tiny-slider.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/tiny-slider.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:34	3383/3383	---M-Z	200	added ('OK')	text/css	etag:%22d37-5bfed23d6fe40-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/lity.min.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/lity.min.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:34	2706/2706	---M-Z	200	added ('OK')	text/css	etag:%22a92-5bfed24234980-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/simplebar.min.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/simplebar.min.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:35	9177/9177	---M-Z	200	added ('OK')	text/css	etag:%2223d9-5bfed23d6fe40-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:35	30184/30184	---M-Z	200	added ('OK')	text/css	etag:%2275e8-5bfed24140740-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/main.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/main.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:36	5077/5077	---M-Z	200	added ('OK')	text/css	etag:%2213d5-5bfed2fb37e00-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/colors/main-darkgreen.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/colors/main-darkgreen.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:36	255/255	---M-Z	200	added ('OK')	text/css	etag:%22ff-5bfed237b70c0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/css/custom.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/css/custom.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:37	2045/2045	---M-Z	200	added ('OK')	text/css	etag:%227fd-5bfed32bdb0c0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/customizer/main.css	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/customizer/main.css	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:37	2531/2531	---M--	200	added ('OK')	image/png	etag:%229e3-5bfed286deb80%22	http://likeabawz.dk/exill/demo/kitzu/template/img/img-kitzu-logo.png	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/img-kitzu-logo.png	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:40	7759/7759	---M--	200	added ('OK')	image/jpeg	etag:%221e4f-5bfed27f3d980%22	http://likeabawz.dk/exill/demo/kitzu/template/img/client-1.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/client-1.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:41	7855/7855	---M--	200	added ('OK')	image/jpeg	etag:%221eaf-5bfed27f3d980%22	http://likeabawz.dk/exill/demo/kitzu/template/img/client-2.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/client-2.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:41	89470/89470	---M--	200	added ('OK')	image/jpeg	etag:%2215d7e-5bfed286deb80%22	http://likeabawz.dk/exill/demo/kitzu/template/img/home.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/home.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:42	8335/8335	---M--	200	added ('OK')	image/jpeg	etag:%22208f-5bfed28125e00%22	http://likeabawz.dk/exill/demo/kitzu/template/img/client-3.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/client-3.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:46	28998/28998	---M--	200	added ('OK')	image/jpeg	etag:%227146-5bfed29438b00%22	http://likeabawz.dk/exill/demo/kitzu/template/img/item-2.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/item-2.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:46	32752/32752	---M--	200	added ('OK')	image/jpeg	etag:%227ff0-5bfed2915c440%22	http://likeabawz.dk/exill/demo/kitzu/template/img/item-1.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/item-1.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:46	25240/25240	---M--	200	added ('OK')	image/jpeg	etag:%226298-5bfed29620f80%22	http://likeabawz.dk/exill/demo/kitzu/template/img/item-3.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/item-3.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:47	70943/70943	---M--	200	added ('OK')	image/jpeg	etag:%221151f-5bfed28d8bb40%22	http://likeabawz.dk/exill/demo/kitzu/template/img/info-img.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/info-img.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:55	40208/40208	---M--	200	added ('OK')	image/jpeg	etag:%229d10-5bfed2b96a2c0%22	http://likeabawz.dk/exill/demo/kitzu/template/img/post-1.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/post-1.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:18:59	77119/77119	---M--	200	added ('OK')	image/jpeg	etag:%2212d3f-5bfed2a83fa40%22	http://likeabawz.dk/exill/demo/kitzu/template/img/item-5.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/item-5.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:19:00	90698/90698	---M--	200	added ('OK')	image/jpeg	etag:%221624a-5bfed29faa600%22	http://likeabawz.dk/exill/demo/kitzu/template/img/item-4.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/item-4.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:19:03	52897/52897	---M--	200	added ('OK')	image/jpeg	etag:%22cea1-5bfed2be2ee00%22	http://likeabawz.dk/exill/demo/kitzu/template/img/post-2.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/post-2.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:19:06	40009/40009	---M--	200	added ('OK')	image/jpeg	etag:%229c49-5bfed2c10b4c0%22	http://likeabawz.dk/exill/demo/kitzu/template/img/post-3.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/post-3.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
18:19:07	44728/44728	---M--	200	added ('OK')	image/jpeg	etag:%22aeb8-5bfed2c5d0000%22	http://likeabawz.dk/exill/demo/kitzu/template/img/post-4.jpg	C:/Users/PC/Desktop/g-portfolio/kitzu%20portfolio/likeabawz.dk/exill/demo/kitzu/template/img/post-4.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/index.html)
